,Product,Flow,NoProduct,NoFlow,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Australia,"Coal, peat and oil shale",Production (ktoe),"01. Coal, peat and oil shale",01. Production (ktoe),106103,114763,119139,119983,118687,127823,129956,140676,152427,154539,164578,178433,183863,183860,189189,201579,203808,214979,215910,223333,246564,233641,245351,264517,285440,298581
Australia,"Coal, peat and oil shale",Imports (ktoe),"01. Coal, peat and oil shale",02. Imports (ktoe),0,0,0,0,0,0,0,0,0,0,0,0,0,35,10,14,33,28,5,4,43,161,87,62,126,167
Australia,"Coal, peat and oil shale",Exports (ktoe),"01. Coal, peat and oil shale",03. Exports (ktoe),-67267,-78214,-82012,-85625,-85120,-88594,-91324,-101540,-108067,-111701,-121426,-125009,-132536,-135540,-142302,-150990,-150780,-158859,-163964,-169048,-190391,-184398,-195161,-217375,-242832,-253999
Australia,"Coal, peat and oil shale",Total energy supply (ktoe),"01. Coal, peat and oil shale",04. Total energy supply (ktoe),34888,36278,36832,37559,37113,37498,40687,44328,47121,48093,48147,48212,48601,48145,49900,51035,51699,51896,51502,52671,50470,48099,47025,43738,41478,42921
Australia,"Coal, peat and oil shale","Electricity, CHP and heat plants (ktoe)","01. Coal, peat and oil shale","05. Electricity, CHP and heat plants (ktoe)",-28923,-29947,-30720,-30918,-31309,-32383,-34291,-35508,-40025,-40636,-41188,-42836,-44175,-42350,-44307,-45459,-46400,-46830,-46187,-48283,-44832,-42734,-42274,-39419,-37285,-38758
Australia,"Coal, peat and oil shale","Oil refineries, transformation (ktoe)","01. Coal, peat and oil shale","06. Oil refineries, transformation (ktoe)",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Australia,"Coal, peat and oil shale",Total final consumption (ktoe),"01. Coal, peat and oil shale",07. Total final consumption (ktoe),4558,4643,4651,4748,4722,4669,4454,4704,4509,4398,4200,3951,3008,3460,3616,3896,3560,3554,3660,3411,2539,2496,2422,2353,2447,2343
Australia,"Coal, peat and oil shale",Industry (ktoe),"01. Coal, peat and oil shale",08. Industry (ktoe),4281,4386,4409,4511,4499,4450,4261,4515,4340,4241,4044,3748,2854,3264,3437,3618,3334,3325,3426,3191,2426,2414,2356,2348,2441,2335
Australia,"Coal, peat and oil shale",Transport (ktoe),"01. Coal, peat and oil shale",09. Transport (ktoe),72,77,83,86,83,86,85,92,90,88,88,110,58,80,91,181,157,168,181,176,94,67,57,0,0,1
Australia,"Coal, peat and oil shale",Residential (ktoe),"01. Coal, peat and oil shale",10. Residential (ktoe),57,45,42,43,38,38,27,22,21,20,18,20,23,23,20,21,10,9,9,7,4,2,2,1,0,1
