Country_Name,1990_REC_ktoe,1991_REC_ktoe,1992_REC_ktoe,1993_REC_ktoe,1994_REC_ktoe,1995_REC_ktoe,1996_REC_ktoe,1997_REC_ktoe,1998_REC_ktoe,1999_REC_ktoe,2000_REC_ktoe,2001_REC_ktoe,2002_REC_ktoe,2003_REC_ktoe,2004_REC_ktoe,2005_REC_ktoe,2006_REC_ktoe,2007_REC_ktoe,2008_REC_ktoe,2009_REC_ktoe,2010_REC_ktoe,2011_REC_ktoe,2012_REC_ktoe,2013_REC_ktoe,2014_REC_ktoe,2015_REC_ktoe
Australia,4537.906035,4635.192231,4264.620135,5069.636011,4969.679579,5117.474151,5692.396398,5963.35868,5727.928345,5757.807972,5861.128897,5878.616013,6095.257697,5068.103262,4846.648861,4848.327694,4993.290207,5213.342138,5168.763297,5351.406635,6187.998727,6505.292814,6592.986625,7371.758562,7538.165118,7424.272744
Austria,4968.584523,5207.561741,5413.452272,5526.968707,5238.608749,5452.801211,5558.527885,5682.53771,5676.39537,6205.071542,6213.548462,6366.842371,6193.927505,5981.574128,6252.74342,6566.013515,7228.061014,7698.512885,7914.128846,8039.015779,8451.51964,8233.04958,8969.008537,9527.801351,9347.981532,9290.431222
Belgium,409.0585775,414.5008329,412.0568977,326.0617439,348.7882608,478.0153369,476.9133625,458.139483,522.9710571,570.2889952,604.9098388,677.5347267,685.1063968,790.9630451,858.0744416,1029.2055,1165.077834,1338.590279,1662.728581,1906.171365,2467.81562,2604.345663,3079.672328,3394.120208,3619.616645,3780.401996
Canada,34894.3065,34916.98116,35129.86168,35800.84071,36934.41299,38125.97616,38781.3425,38749.63851,38198.27747,39897.41143,40318.88064,38049.86841,41408.18916,41703.76259,43520.61284,43213.76061,42132.52087,43448.09641,43222.02309,41710.83625,41362.33012,42657.72156,43859.83159,43985.24638,43613.65547,43468.80843
Chile,3776.642365,4398.187914,5064.706354,4806.110644,4970.22438,5207.472505,5306.456241,5529.426825,5504.64793,5713.50857,6392.102966,6547.504199,6832.442749,6576.633699,6809.881754,7047.347506,7536.393963,6971.481932,6962.690332,7101.424633,6452.397988,7219.114456,7565.077601,8027.14543,6655.763785,6223.375648
Czech Republic,1177.883018,1163.814166,1714.987358,1640.80938,1589.009313,1454.844505,1467.850447,1549.661732,1573.661274,1656.466208,1551.763656,1679.198916,1907.275523,1838.34519,2000.133422,2099.239805,2212.186577,2265.36708,2465.3394,2691.125273,2930.206865,3134.509261,3310.16396,3569.066868,3734.677473,3766.158164
Denmark,927.6550882,987.3096226,1065.893547,1097.232219,1042.382784,1089.866789,1095.930063,1193.370008,1245.223525,1319.063766,1530.587977,1625.046718,1707.262692,1870.648403,2148.721165,2409.928892,2306.099041,2681.513608,2764.951904,2761.179551,3199.381598,3410.621619,3747.722417,3713.704339,3941.366393,4504.191937
Estonia,190.3232188,188.5823966,208.8570821,200.6191493,278.9272913,333.2243496,614.4894411,604.2383993,502.7579509,515.7824929,512.3927843,533.7648615,530.0508497,567.9310995,597.6156507,575.2677563,525.1902238,605.041562,654.5272335,686.0481326,747.8655841,720.0256744,731.3152881,740.1314055,732.6828909,781.9906806
Finland,5470.772075,5319.581876,5569.355002,5740.540755,5837.898394,6101.404563,6118.693287,6753.639937,7409.786602,7367.928389,7738.730714,7255.874658,7539.947847,7339.627771,8119.465539,7971.932106,8283.221782,8461.05735,8935.251342,7856.946283,8880.441052,8816.257864,9765.855233,9661.099753,10307.16075,10567.13053
France,14743.79174,16737.9166,17223.02222,16242.84868,16191.90048,16179.35278,16496.38782,15577.20712,15545.34344,15703.6302,15009.8075,15770.0662,14202.36893,14791.69538,14995.70301,14404.04035,13992.43441,15123.57555,17057.43609,17524.17268,18925.91485,16800.75334,19567.83428,21633.74666,20111.96408,20663.72581
