,Country Name,1990_TEC_ktoe,1991_TEC_ktoe,1992_TEC_ktoe,1993_TEC_ktoe,1994_TEC_ktoe,1995_TEC_ktoe,1996_TEC_ktoe,1997_TEC_ktoe,1998_TEC_ktoe,1999_TEC_ktoe,2000_TEC_ktoe,2001_TEC_ktoe,2002_TEC_ktoe,2003_TEC_ktoe,2004_TEC_ktoe,2005_TEC_ktoe,2006_TEC_ktoe,2007_TEC_ktoe,2008_TEC_ktoe,2009_TEC_ktoe,2010_TEC_ktoe,2011_TEC_ktoe,2012_TEC_ktoe,2013_TEC_ktoe,2014_TEC_ktoe,2015_TEC_ktoe,Country Code,Indicator Name,Indicator Code,1990_REC_PCT,1991_REC_PCT,1992_REC_PCT,1993_REC_PCT,1994_REC_PCT,1995_REC_PCT,1996_REC_PCT,1997_REC_PCT,1998_REC_PCT,1999_REC_PCT,2000_REC_PCT,2001_REC_PCT,2002_REC_PCT,2003_REC_PCT,2004_REC_PCT,2005_REC_PCT,2006_REC_PCT,2007_REC_PCT,2008_REC_PCT,2009_REC_PCT,2010_REC_PCT,2011_REC_PCT,2012_REC_PCT,2013_REC_PCT,2014_REC_PCT,2015_REC_PCT
0,Australia,56656,56215,56737,58833,60166,62273,64205,65674,66642,67681,69582,70232,69750,70872,72550,72234,72860,74995,76128,75236,76310,78793,79943,81111,81246,80870,AUS,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,8.009577159,8.24547226,7.5164709720000005,8.616993882000001,8.259946779,8.217805712,8.86597056,9.080242836,8.595072694,8.507273787,8.423340658999999,8.370281372,8.738720713,7.15106567,6.680425721000001,6.7119745470000005,6.853266822999999,6.95158629,6.789569274,7.112827151,8.109027292999999,8.25618115,8.247109347,9.08848191,9.278198457,9.18050296
1,Austria,19767,21259,20712,20969,20400,21275,23125,22848,23255,23470,23547,24984,25092,26492,26929,27161,27531,26917,26959,26345,27566,26568,26832,27473,26411,27011,AUT,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,25.13575415,24.49579821,26.13679158,26.35780775,25.67945465,25.63008795,24.03687734,24.8710509,24.40935442,26.43831079,26.38785604,25.48367904,24.6848697,22.57879408,23.219367300000002,24.17441742,26.25426252,28.60093207,29.3561662,30.51438899,30.65921657,30.98859372,33.42653748,34.68060041,35.39427334,34.39499175
2,Belgium,32223,34113,34501,34090,37122,37926,40266,39891,40479,40716,41802,42747,40642,41826,42390,41720,41218,40209,42506,39437,42276,39269,39693,41751,39890,41084,BEL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,1.269461495,1.215081737,1.1943332009999998,0.956473288,0.939572924,1.26038954,1.184407099,1.1484783109999999,1.291956464,1.400650838,1.447083486,1.584987781,1.6857103409999998,1.891079819,2.02423789,2.466935523,2.826623887,3.3290812489999997,3.9117502969999998,4.8334593539999995,5.8373914760000005,6.632065148,7.758729066,8.129434522999999,9.073995098,9.201640531
3,Canada,158461,157299,160191,164201,170262,173904,179716,181828,177468,183816,187439,181115,190209,196873,201658,194232,190742,196365,191882,183738,187321,194204,193982,196541,198022,197358,CAN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,22.02075369,22.19784052,21.92998463,21.80305888,21.69269302,21.92357632,21.57923752,21.31115038,21.52403671,21.70508086,21.51040106,21.00867869,21.76983695,21.18307873,21.58139664,22.24852785,22.08874861,22.12619174,22.52531404,22.70125736,22.08098938,21.96541861,22.61025847,22.37967975,22.02465154,22.02535921
4,Chile,11099,11800,13115,13436,14275,15241,16464,18460,18506,19665,20382,20368,20661,20803,21664,21844,22902,22885,22586,22526,23860,25075,24965,26600,24912,25011,CHL,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,34.02687057,37.27277893,38.61766187,35.77039777,34.81768392,34.16752513,32.2306623,29.953558100000002,29.74520658,29.05420071,31.36150999,32.14603397,33.06927423,31.61387155,31.43409229,32.26216584,32.90714332,30.46310654,30.82746096,31.52545784,27.04274094,28.79008756,30.30273423,30.17723846,26.71709933,24.88255427
5,Czech Republic,32980,29277,29067,28205,26897,27435,28004,27435,26373,25574,26119,26710,26215,27341,28115,27942,28151,27318,27530,26347,26839,25861,25936,25633,25182,25398,CZE,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.571507027,3.97518245,5.900118202000001,5.817441516000001,5.907756675,5.302877728,5.241574228,5.648484534,5.966940712,6.4771494810000005,5.941129661000001,6.286779916,7.275512199,6.723767201,7.114114965,7.512847343,7.858287725,8.292580277999999,8.955101345,10.21416204,10.91771998,12.12060346,12.76281601,13.92371891,14.83074209,14.82856195
6,Denmark,13174,13963,13758,14247,14220,14508,15093,14728,14619,14549,14255,14609,14388,14706,14871,14944,15105,15149,14906,14275,14982,14271,13737,13582,13020,13579,DNK,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,7.041559801,7.070898966000001,7.747445467,7.701496592000001,7.330399327,7.5121780320000004,7.2611811,8.102729547000001,8.517843392,9.066353467999999,10.73720082,11.12359996,11.86587915,12.72030738,14.44906977,16.12639783,15.26712374,17.70092817,18.54925469,19.34276393,21.35483646,23.89896727,27.28195688,27.3428386,30.27163128,33.17027717
7,Estonia,5671,5348,3536,2992,3004,2704,3144,3061,2833,2570,2583,2818,2730,2864,2990,3050,3060,3259,3242,2848,2976,2882,2936,3024,2893,2846,EST,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.356078624,3.5262228230000003,5.906591687000001,6.705185471,9.285196116,12.32338571,19.54482955,19.73990197,17.74648609,20.069357699999998,19.83711902,18.94126549,19.41578204,19.82999649,19.98714551,18.86123791,17.16307921,18.56525198,20.18899548,24.0887687,25.12989194,24.98354179,24.90855886,24.47524489,25.32605914,27.47683347
8,Finland,22322,22140,22168,22076,23229,22377,22771,23427,24296,24368,24439,24817,25550,25895,26117,25297,26512,26613,25727,24102,26444,25005,25168,25107,24996,24441,FIN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,24.50843148,24.02701841,25.1233986,26.00353667,25.13194022,27.26640999,26.87055152,28.82844554,30.49796922,30.2360817,31.6654966,29.23751726,29.51055909,28.34380294,31.08881395,31.51334983,31.24329278,31.79294837,34.7310271,32.59873157,33.58206418,35.25797986,38.80266701,38.47970587,41.23524065,43.23526259
9,France,141658,151994,152982,149564,148081,151189,157184,155999,160108,160585,162163,167852,163834,167184,168724,167549,165393,162247,162867,156159,159768,153942,158150,160519,150685,153073,FRA,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,10.40801913,11.01222193,11.25820176,10.86013257,10.93448888,10.70140869,10.49495357,9.985453187000001,9.709285885,9.779014352,9.256000137000001,9.395220908999999,8.668755527,8.847554419,8.887711892999999,8.596912157,8.460112829,9.321328315,10.47323036,11.22200621,11.845873300000001,10.91369044,12.37295876,13.47737443,13.34702464,13.49926232
10,Germany,240788,237960,232023,232452,229528,233315,242073,239054,238268,233723,231404,235432,231947,235100,234289,231667,236482,222648,230534,217397,231902,221010,223718,228909,217712,220917,DEU,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,2.098033775,1.988632809,2.062621895,2.110931085,2.266202061,2.319748996,2.252173834,2.8244218219999997,3.0451189060000003,3.263712146,3.70043759,3.89967279,4.412636787,5.058467425,5.825244433,6.764551009,7.753224656,9.406587903,8.592248257,9.63006157,10.29351964,11.39435591,12.01513573,12.08907875,13.37887823,14.2062527
11,Greece,14494,14808,14801,14748,14859,15350,16498,17042,18037,17838,18512,19154,19558,20638,20455,20852,21445,21828,21228,20641,19485,19071,17131,15319,15509,16441,GRC,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,7.806882299,8.316861357,7.899382836,7.9946095239999995,8.037282969,8.311389769,8.209182043,7.8340383000000005,7.380368096000001,7.834060225,7.52078501,6.8137296339999995,7.015577532000001,7.2826852870000005,7.539981331,7.72374229,8.211680139,7.918628933,8.10995865,8.920028783,11.09298261,11.08831581,13.85937775,16.29381751,16.08579272,17.17004755
12,Hungary,20688,19449,17087,17022,17073,17251,17705,17079,17289,17195,17225,17851,18075,18618,18676,20475,20184,19273,19017,18576,18970,18738,17765,17868,17714,18860,HUN,Renewable energy consumption (% of total final energy consumption),EG.FEC.RNEW.ZS,3.8566695610000004,4.27666391,4.886103146,5.046239461,5.106918467,5.417597575,5.143343973,5.23053173,5.188747806,5.1584721710000006,5.166111848,5.121124405,5.166033218,5.009128393999999,4.628674222,4.664768951,5.364128636,6.140332595,6.755189412999999,8.399154788999999,13.45602883,14.74299174,16.46520462,17.19638871,15.67454982,15.55936205
