Country_Name,1990_TEC_ktoe,1991_TEC_ktoe,1992_TEC_ktoe,1993_TEC_ktoe,1994_TEC_ktoe,1995_TEC_ktoe,1996_TEC_ktoe,1997_TEC_ktoe,1998_TEC_ktoe,1999_TEC_ktoe,2000_TEC_ktoe,2001_TEC_ktoe,2002_TEC_ktoe,2003_TEC_ktoe,2004_TEC_ktoe,2005_TEC_ktoe,2006_TEC_ktoe,2007_TEC_ktoe,2008_TEC_ktoe,2009_TEC_ktoe,2010_TEC_ktoe,2011_TEC_ktoe,2012_TEC_ktoe,2013_TEC_ktoe,2014_TEC_ktoe,2015_TEC_ktoe,1990_REC_%,1991_REC_%,1992_REC_%,1993_REC_%,1994_REC_%,1995_REC_%,1996_REC_%,1997_REC_%,1998_REC_%,1999_REC_%,2000_REC_%,2001_REC_%,2002_REC_%,2003_REC_%,2004_REC_%,2005_REC_%,2006_REC_%,2007_REC_%,2008_REC_%,2009_REC_%,2010_REC_%,2011_REC_%,2012_REC_%,2013_REC_%,2014_REC_%,2015_REC_%,1990_REC_ktoe,1991_REC_ktoe,1992_REC_ktoe,1993_REC_ktoe,1994_REC_ktoe,1995_REC_ktoe,1996_REC_ktoe,1997_REC_ktoe,1998_REC_ktoe,1999_REC_ktoe,2000_REC_ktoe,2001_REC_ktoe,2002_REC_ktoe,2003_REC_ktoe,2004_REC_ktoe,2005_REC_ktoe,2006_REC_ktoe,2007_REC_ktoe,2008_REC_ktoe,2009_REC_ktoe,2010_REC_ktoe,2011_REC_ktoe,2012_REC_ktoe,2013_REC_ktoe,2014_REC_ktoe,2015_REC_ktoe
Australia,56656,56215,56737,58833,60166,62273,64205,65674,66642,67681,69582,70232,69750,70872,72550,72234,72860,74995,76128,75236,76310,78793,79943,81111,81246,80870,8.009577159,8.24547226,7.516470972,8.616993882,8.259946779,8.217805712,8.86597056,9.080242836,8.595072694,8.507273787,8.423340659,8.370281372,8.738720713,7.15106567,6.680425721,6.711974547,6.853266823,6.95158629,6.789569274,7.112827151,8.109027293,8.25618115,8.247109347,9.08848191,9.278198457,9.18050296,4537.906035,4635.192231,4264.620135,5069.636011,4969.679579,5117.474151,5692.396398,5963.35868,5727.928345,5757.807972,5861.128897,5878.616013,6095.257697,5068.103262,4846.648861,4848.327694,4993.290207,5213.342138,5168.763297,5351.406635,6187.998727,6505.292814,6592.986625,7371.758562,7538.165118,7424.272744
Austria,19767,21259,20712,20969,20400,21275,23125,22848,23255,23470,23547,24984,25092,26492,26929,27161,27531,26917,26959,26345,27566,26568,26832,27473,26411,27011,25.13575415,24.49579821,26.13679158,26.35780775,25.67945465,25.63008795,24.03687734,24.8710509,24.40935442,26.43831079,26.38785604,25.48367904,24.6848697,22.57879408,23.2193673,24.17441742,26.25426252,28.60093207,29.3561662,30.51438899,30.65921657,30.98859372,33.42653748,34.68060041,35.39427334,34.39499175,4968.584523,5207.561741,5413.452272,5526.968707,5238.608749,5452.801211,5558.527885,5682.53771,5676.39537,6205.071542,6213.548462,6366.842371,6193.927505,5981.574128,6252.74342,6566.013515,7228.061014,7698.512885,7914.128846,8039.015779,8451.51964,8233.04958,8969.008537,9527.801351,9347.981532,9290.431222
Belgium,32223,34113,34501,34090,37122,37926,40266,39891,40479,40716,41802,42747,40642,41826,42390,41720,41218,40209,42506,39437,42276,39269,39693,41751,39890,41084,1.269461495,1.215081737,1.194333201,0.956473288,0.939572924,1.26038954,1.184407099,1.148478311,1.291956464,1.400650838,1.447083486,1.584987781,1.685710341,1.891079819,2.02423789,2.466935523,2.826623887,3.329081249,3.911750297,4.833459354,5.837391476,6.632065148,7.758729066,8.129434523,9.073995098,9.201640531,409.0585775,414.5008329,412.0568977,326.0617439,348.7882608,478.0153369,476.9133625,458.139483,522.9710571,570.2889952,604.9098388,677.5347267,685.1063968,790.9630451,858.0744416,1029.2055,1165.077834,1338.590279,1662.728581,1906.171365,2467.81562,2604.345663,3079.672328,3394.120208,3619.616645,3780.401996
Canada,158461,157299,160191,164201,170262,173904,179716,181828,177468,183816,187439,181115,190209,196873,201658,194232,190742,196365,191882,183738,187321,194204,193982,196541,198022,197358,22.02075369,22.19784052,21.92998463,21.80305888,21.69269302,21.92357632,21.57923752,21.31115038,21.52403671,21.70508086,21.51040106,21.00867869,21.76983695,21.18307873,21.58139664,22.24852785,22.08874861,22.12619174,22.52531404,22.70125736,22.08098938,21.96541861,22.61025847,22.37967975,22.02465154,22.02535921,34894.3065,34916.98116,35129.86168,35800.84071,36934.41299,38125.97616,38781.3425,38749.63851,38198.27747,39897.41143,40318.88064,38049.86841,41408.18916,41703.76259,43520.61284,43213.76061,42132.52087,43448.09641,43222.02309,41710.83625,41362.33012,42657.72156,43859.83159,43985.24638,43613.65547,43468.80843
Chile,11099,11800,13115,13436,14275,15241,16464,18460,18506,19665,20382,20368,20661,20803,21664,21844,22902,22885,22586,22526,23860,25075,24965,26600,24912,25011,34.02687057,37.27277893,38.61766187,35.77039777,34.81768392,34.16752513,32.2306623,29.9535581,29.74520658,29.05420071,31.36150999,32.14603397,33.06927423,31.61387155,31.43409229,32.26216584,32.90714332,30.46310654,30.82746096,31.52545784,27.04274094,28.79008756,30.30273423,30.17723846,26.71709933,24.88255427,3776.642365,4398.187914,5064.706354,4806.110644,4970.22438,5207.472505,5306.456241,5529.426825,5504.64793,5713.50857,6392.102966,6547.504199,6832.442749,6576.633699,6809.881754,7047.347506,7536.393963,6971.481932,6962.690332,7101.424633,6452.397988,7219.114456,7565.077601,8027.14543,6655.763785,6223.375648
Czech Republic,32980,29277,29067,28205,26897,27435,28004,27435,26373,25574,26119,26710,26215,27341,28115,27942,28151,27318,27530,26347,26839,25861,25936,25633,25182,25398,3.571507027,3.97518245,5.900118202,5.817441516,5.907756675,5.302877728,5.241574228,5.648484534,5.966940712,6.477149481,5.941129661,6.286779916,7.275512199,6.723767201,7.114114965,7.512847343,7.858287725,8.292580278,8.955101345,10.21416204,10.91771998,12.12060346,12.76281601,13.92371891,14.83074209,14.82856195,1177.883018,1163.814166,1714.987358,1640.80938,1589.009313,1454.844505,1467.850447,1549.661732,1573.661274,1656.466208,1551.763656,1679.198916,1907.275523,1838.34519,2000.133422,2099.239805,2212.186577,2265.36708,2465.3394,2691.125273,2930.206865,3134.509261,3310.16396,3569.066868,3734.677473,3766.158164
Denmark,13174,13963,13758,14247,14220,14508,15093,14728,14619,14549,14255,14609,14388,14706,14871,14944,15105,15149,14906,14275,14982,14271,13737,13582,13020,13579,7.041559801,7.070898966,7.747445467,7.701496592,7.330399327,7.512178032,7.2611811,8.102729547,8.517843392,9.066353468,10.73720082,11.12359996,11.86587915,12.72030738,14.44906977,16.12639783,15.26712374,17.70092817,18.54925469,19.34276393,21.35483646,23.89896727,27.28195688,27.3428386,30.27163128,33.17027717,927.6550882,987.3096226,1065.893547,1097.232219,1042.382784,1089.866789,1095.930063,1193.370008,1245.223525,1319.063766,1530.587977,1625.046718,1707.262692,1870.648403,2148.721165,2409.928892,2306.099041,2681.513608,2764.951904,2761.179551,3199.381598,3410.621619,3747.722417,3713.704339,3941.366393,4504.191937
Estonia,5671,5348,3536,2992,3004,2704,3144,3061,2833,2570,2583,2818,2730,2864,2990,3050,3060,3259,3242,2848,2976,2882,2936,3024,2893,2846,3.356078624,3.526222823,5.906591687,6.705185471,9.285196116,12.32338571,19.54482955,19.73990197,17.74648609,20.0693577,19.83711902,18.94126549,19.41578204,19.82999649,19.98714551,18.86123791,17.16307921,18.56525198,20.18899548,24.0887687,25.12989194,24.98354179,24.90855886,24.47524489,25.32605914,27.47683347,190.3232188,188.5823966,208.8570821,200.6191493,278.9272913,333.2243496,614.4894411,604.2383993,502.7579509,515.7824929,512.3927843,533.7648615,530.0508497,567.9310995,597.6156507,575.2677563,525.1902238,605.041562,654.5272335,686.0481326,747.8655841,720.0256744,731.3152881,740.1314055,732.6828909,781.9906806
Finland,22322,22140,22168,22076,23229,22377,22771,23427,24296,24368,24439,24817,25550,25895,26117,25297,26512,26613,25727,24102,26444,25005,25168,25107,24996,24441,24.50843148,24.02701841,25.1233986,26.00353667,25.13194022,27.26640999,26.87055152,28.82844554,30.49796922,30.2360817,31.6654966,29.23751726,29.51055909,28.34380294,31.08881395,31.51334983,31.24329278,31.79294837,34.7310271,32.59873157,33.58206418,35.25797986,38.80266701,38.47970587,41.23524065,43.23526259,5470.772075,5319.581876,5569.355002,5740.540755,5837.898394,6101.404563,6118.693287,6753.639937,7409.786602,7367.928389,7738.730714,7255.874658,7539.947847,7339.627771,8119.465539,7971.932106,8283.221782,8461.05735,8935.251342,7856.946283,8880.441052,8816.257864,9765.855233,9661.099753,10307.16075,10567.13053
France,141658,151994,152982,149564,148081,151189,157184,155999,160108,160585,162163,167852,163834,167184,168724,167549,165393,162247,162867,156159,159768,153942,158150,160519,150685,153073,10.40801913,11.01222193,11.25820176,10.86013257,10.93448888,10.70140869,10.49495357,9.985453187,9.709285885,9.779014352,9.256000137,9.395220909,8.668755527,8.847554419,8.887711893,8.596912157,8.460112829,9.321328315,10.47323036,11.22200621,11.8458733,10.91369044,12.37295876,13.47737443,13.34702464,13.49926232,14743.79174,16737.9166,17223.02222,16242.84868,16191.90048,16179.35278,16496.38782,15577.20712,15545.34344,15703.6302,15009.8075,15770.0662,14202.36893,14791.69538,14995.70301,14404.04035,13992.43441,15123.57555,17057.43609,17524.17268,18925.91485,16800.75334,19567.83428,21633.74666,20111.96408,20663.72581
Germany,240788,237960,232023,232452,229528,233315,242073,239054,238268,233723,231404,235432,231947,235100,234289,231667,236482,222648,230534,217397,231902,221010,223718,228909,217712,220917,2.098033775,1.988632809,2.062621895,2.110931085,2.266202061,2.319748996,2.252173834,2.824421822,3.045118906,3.263712146,3.70043759,3.89967279,4.412636787,5.058467425,5.825244433,6.764551009,7.753224656,9.406587903,8.592248257,9.63006157,10.29351964,11.39435591,12.01513573,12.08907875,13.37887823,14.2062527,5051.813566,4732.150632,4785.757199,4906.901526,5201.568267,5412.32237,5451.904765,6751.893342,7255.543915,7628.045939,8562.960601,9181.077643,10234.97865,11892.45692,13647.90693,15671.23239,18334.98073,20943.57983,19808.0536,20935.46495,23870.87792,25182.666,26880.02135,27672.98928,29127.42337,31384.02728
Greece,14494,14808,14801,14748,14859,15350,16498,17042,18037,17838,18512,19154,19558,20638,20455,20852,21445,21828,21228,20641,19485,19071,17131,15319,15509,16441,7.806882299,8.316861357,7.899382836,7.994609524,8.037282969,8.311389769,8.209182043,7.8340383,7.380368096,7.834060225,7.52078501,6.813729634,7.015577532,7.282685287,7.539981331,7.72374229,8.211680139,7.918628933,8.10995865,8.920028783,11.09298261,11.08831581,13.85937775,16.29381751,16.08579272,17.17004755,1131.52952,1231.56083,1169.187654,1179.045013,1194.259876,1275.79833,1354.350853,1335.076807,1331.196993,1397.439663,1392.247721,1305.101774,1372.106654,1503.00059,1542.303181,1610.554742,1760.994806,1728.478323,1721.582022,1841.183141,2161.467662,2114.652708,2374.250002,2496.049904,2494.745593,2822.927518
Hungary,20688,19449,17087,17022,17073,17251,17705,17079,17289,17195,17225,17851,18075,18618,18676,20475,20184,19273,19017,18576,18970,18738,17765,17868,17714,18860,3.856669561,4.27666391,4.886103146,5.046239461,5.106918467,5.417597575,5.143343973,5.23053173,5.188747806,5.158472171,5.166111848,5.121124405,5.166033218,5.009128394,4.628674222,4.664768951,5.364128636,6.140332595,6.755189413,8.399154789,13.45602883,14.74299174,16.46520462,17.19638871,15.67454982,15.55936205,797.8677988,831.7683639,834.8884446,858.9708811,871.9041899,934.5897577,910.6290504,893.3225142,897.0826082,886.9992898,889.8627658,914.1719175,933.7605042,932.5995244,864.4511977,955.1114427,1082.695724,1183.426301,1284.634371,1560.226994,2552.608669,2762.541792,2925.043601,3072.650735,2776.589755,2934.495683
Iceland,1358,1340,1378,1410,1455,1449,1520,1526,1592,1670,1768,1792,1859,1851,1910,1922,2048,2217,2558,2577,2532,2533,2609,2714,2749,2864,54.67215495,54.78742376,54.63326131,54.65954212,54.13755312,55.65071671,52.25319555,54.88195631,57.21244566,59.81767631,60.66047706,62.11936348,61.84319625,61.88160482,61.80698855,62.46559957,64.01584575,66.7515976,73.46157031,74.12387755,75.41969184,76.45085366,77.34468142,76.21949595,76.33887098,77.02968921,742.4478642,734.1514784,752.8463409,770.6995439,787.7013979,806.3788851,794.2485724,837.4986533,910.8221349,998.9551944,1072.477234,1113.178994,1149.665018,1145.428505,1180.513481,1200.588824,1311.044521,1479.882919,1879.146969,1910.172324,1909.626597,1936.500123,2017.922738,2068.59712,2098.555563,2206.130299
Ireland,7552,7700,7615,7676,8027,8105,8487,8866,9517,10023,10778,11005,10968,11039,11457,12233,12769,12333,12594,11521,11503,10469,10284,10353,10201,10494,2.279781342,2.229175901,2.158728425,2.107048335,2.175584613,1.922436471,1.934751442,1.9007389,2.27773144,2.056848,2.034167233,1.97160804,2.246424848,2.013803863,2.313448594,2.889906401,3.203652638,3.556367276,4.153371219,5.246756479,5.273538143,6.709364607,6.618548611,7.404766881,8.520669791,9.081399013,172.1690869,171.6465444,164.3871696,161.7370302,174.6341769,155.813476,164.2023549,168.5195109,216.7717011,206.157875,219.2425444,216.9754648,246.3878773,222.3038084,265.0518054,353.52225,409.0744053,438.6067761,523.0755713,604.4788139,606.6150926,702.4033807,680.6515392,766.6155152,869.1935254,953.0020124
Israel,6967,7152,7259,8240,8872,9803,10198,10549,10713,10961,11978,11722,11528,12039,12662,11952,12470,13098,13867,13921,14840,14086,13946,14090,14302,14790,5.800245158,6.025400839,6.244880714,5.891055897,5.649078182,5.43627427,5.446613082,5.697907803,6.074627123,5.868728881,5.970640521,6.297686075,6.517739749,6.520650315,6.713898323,7.000401125,6.82470273,6.650404241,8.822178689,8.417051651,8.503355,9.021751467,2.686302925,3.319186866,3.680132349,3.707766913,404.1030802,430.936668,453.315891,485.4230059,501.1862163,532.9179667,555.4456021,601.0722941,650.7748037,643.2713726,715.1633216,738.2147617,751.3650383,785.0210914,850.1138057,836.6879425,851.0404304,871.0699475,1223.371519,1171.73776,1261.897882,1270.803912,374.6318059,467.6734294,526.3325286,548.3787264
Italy,114946,117428,117394,117076,115621,120517,121753,123038,126106,129192,128839,131706,132026,138059,137947,141287,139851,138678,138517,130802,133745,127830,125414,121015,116305,118845,3.781463481,4.66941317,4.839463242,4.771495295,5.248022105,4.462278337,4.748913895,4.831419767,4.757625432,5.022459784,5.119514798,5.382566849,5.596669925,6.240586709,5.935948542,6.702639079,7.512564041,8.731729747,10.8233493,12.53975273,12.794093,11.90494027,14.39164897,16.32088504,17.09035884,16.51685058,4346.641013,5483.198497,5681.239478,5586.275832,6067.815638,5377.803983,5781.945135,5944.482253,5999.651127,6488.616244,6595.931671,7089.163494,7389.059435,8615.691605,8188.462935,9469.957676,10506.39594,12108.98818,14992.17875,16402.24737,17111.45968,15218.08515,18049.14264,19750.71903,19876.94185,19629.45107
Japan,292305,297637,300655,303926,313796,325239,329744,330686,324901,333369,337278,332816,338283,335509,340256,341275,338817,336486,314322,307699,314702,308538,305157,305918,296937,293665,4.550664024,4.730569218,4.197714901,4.435606712,3.567645778,3.917188521,3.839358437,4.072127493,4.045356051,3.828786576,3.916108019,3.73677736,3.695374373,4.079025011,4.013757492,3.65447331,4.029363809,3.752731799,3.983866936,4.035613662,4.585529562,4.693602259,4.533085434,4.91215213,5.625025887,6.297357081,13301.81848,14079.9243,12620.63974,13480.96206,11195.12975,12740.22477,12660.05408,13465.95552,13143.40226,12763.98752,13208.1708,12436.59294,12500.82329,13685.49602,13657.05069,12471.80379,13652.16958,12627.41712,12522.17023,12417.54288,14430.75324,14481.54654,13833.02752,15027.15755,16702.78312,18493.13367
Latvia,6419,6201,5159,4484,4074,3862,3799,3745,3636,3436,3299,3607,3664,3837,3941,4062,4235,4387,4173,4013,4074,3847,4005,3837,3869,3791,17.56969052,18.68121836,21.59232003,25.38211766,28.34083494,32.4288069,32.0253796,32.89142112,35.34881087,36.33113045,35.82038981,35.3472298,34.38258949,34.33766248,36.11247547,36.30050044,33.9989639,33.07538637,33.70493558,38.39414096,33.06400041,35.5339218,40.36562479,39.60303803,40.2360616,38.09801717,1127.798434,1158.422351,1113.94779,1138.134156,1154.605615,1252.400522,1216.644171,1231.783721,1285.282763,1248.337642,1181.71466,1274.974579,1259.778079,1317.536109,1423.192658,1474.526328,1439.856121,1451.0172,1406.506962,1540.756877,1347.027377,1366.989972,1616.643273,1519.568569,1556.733223,1444.295831
Lithuania,10408,11034,6764,5088,5073,5097,5070,5063,5068,4670,4395,4614,4797,4942,5096,5341,5633,6368,6158,5260,5401,5862,5980,5643,5788,5886,3.096778514,2.887549503,4.609238189,8.890993356,9.823367245,10.34126673,11.47351421,11.61951371,12.92659288,14.97327391,17.18556439,17.58941863,17.88962616,18.06564408,18.06680328,17.5096092,17.46242818,17.06213084,18.33383246,20.08648269,21.45765236,22.73827261,23.9225825,26.34251347,27.70505248,28.96117925,322.3127077,318.6122122,311.7688711,452.373742,498.3394203,527.0943652,581.7071704,588.2959791,655.1197272,699.2518916,755.3055549,811.5757756,858.1653669,892.8041304,920.6842951,935.1882274,983.6585794,1086.516492,1128.997403,1056.548989,1158.927804,1332.91754,1430.570434,1486.508035,1603.568438,1704.655011
Luxembourg,2778,2997,3030,3101,3036,2797,2890,2904,2907,3037,3256,3397,3394,3621,4028,4091,4051,3948,3985,3700,3942,3938,3851,3797,3644,3578,1.721832398,1.700140165,2.012050464,1.991929201,2.820830015,3.990915421,3.065372097,4.386336023,6.730018593,5.86317309,6.854022816,3.433020512,1.312854047,1.271846994,1.362008875,1.891072557,2.092270369,3.635015081,3.966352156,3.737162366,3.659683026,3.733296015,4.147856832,5.723199451,6.883231945,9.031313661,47.83250402,50.95320075,60.96512906,61.76972452,85.64039926,111.6259043,88.5892536,127.3791981,195.6416405,178.0645667,223.1669829,116.6197068,44.55826636,46.05357965,54.86171749,77.36377831,84.75787265,143.5103954,158.0591334,138.2750075,144.2647049,147.0171971,159.7339666,217.3098832,250.8249721,323.1404028
