Country_Name,1990_TEC_ktoe,1991_TEC_ktoe,1992_TEC_ktoe,1993_TEC_ktoe,1994_TEC_ktoe,1995_TEC_ktoe,1996_TEC_ktoe,1997_TEC_ktoe,1998_TEC_ktoe,1999_TEC_ktoe,2000_TEC_ktoe,2001_TEC_ktoe,2002_TEC_ktoe,2003_TEC_ktoe,2004_TEC_ktoe,2005_TEC_ktoe,2006_TEC_ktoe,2007_TEC_ktoe,2008_TEC_ktoe,2009_TEC_ktoe,2010_TEC_ktoe,2011_TEC_ktoe,2012_TEC_ktoe,2013_TEC_ktoe,2014_TEC_ktoe,2015_TEC_ktoe
Australia,56656,56215,56737,58833,60166,62273,64205,65674,66642,67681,69582,70232,69750,70872,72550,72234,72860,74995,76128,75236,76310,78793,79943,81111,81246,80870
Austria,19767,21259,20712,20969,20400,21275,23125,22848,23255,23470,23547,24984,25092,26492,26929,27161,27531,26917,26959,26345,27566,26568,26832,27473,26411,27011
Belgium,32223,34113,34501,34090,37122,37926,40266,39891,40479,40716,41802,42747,40642,41826,42390,41720,41218,40209,42506,39437,42276,39269,39693,41751,39890,41084
Canada,158461,157299,160191,164201,170262,173904,179716,181828,177468,183816,187439,181115,190209,196873,201658,194232,190742,196365,191882,183738,187321,194204,193982,196541,198022,197358
Chile,11099,11800,13115,13436,14275,15241,16464,18460,18506,19665,20382,20368,20661,20803,21664,21844,22902,22885,22586,22526,23860,25075,24965,26600,24912,25011
Czech Republic,32980,29277,29067,28205,26897,27435,28004,27435,26373,25574,26119,26710,26215,27341,28115,27942,28151,27318,27530,26347,26839,25861,25936,25633,25182,25398
Denmark,13174,13963,13758,14247,14220,14508,15093,14728,14619,14549,14255,14609,14388,14706,14871,14944,15105,15149,14906,14275,14982,14271,13737,13582,13020,13579
Estonia,5671,5348,3536,2992,3004,2704,3144,3061,2833,2570,2583,2818,2730,2864,2990,3050,3060,3259,3242,2848,2976,2882,2936,3024,2893,2846
Finland,22322,22140,22168,22076,23229,22377,22771,23427,24296,24368,24439,24817,25550,25895,26117,25297,26512,26613,25727,24102,26444,25005,25168,25107,24996,24441
France,141658,151994,152982,149564,148081,151189,157184,155999,160108,160585,162163,167852,163834,167184,168724,167549,165393,162247,162867,156159,159768,153942,158150,160519,150685,153073
Germany,240788,237960,232023,232452,229528,233315,242073,239054,238268,233723,231404,235432,231947,235100,234289,231667,236482,222648,230534,217397,231902,221010,223718,228909,217712,220917
