Year,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53
Country Name,Australia,Austria,Belgium,Canada,Chile,Czech Republic,Denmark,Estonia,Finland,France,Germany,Greece,Hungary,Iceland,Ireland,Israel,Italy,Japan,Korea,Latvia,Lithuania,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Poland,Portugal,Slovak Republic,Slovenia,Spain,Sweden,Switzerland,Turkey,United Kingdom,United States,OECD Total,Brazil,China,India,Indonesia,Morocco,Singapore,South Africa,Thailand,Non-OECD Total,Africa,Non-OECD Americas,Non-OECD Asia (including China),Non-OECD Europe and Eurasia,Middle East,IEA Total,IEA and Accession/Association countries,World
1990,56656,19767,32223,158461,11099,32980,13174,5671,22322,141658,240788,14494,20688,1358,7552,6967,114946,292305,64905,6419,10408,2778,83324,53854,9764,17434,61438,13394,15752,3693,60635,32117,18244,40391,138167,1293556,3119381,111398,657594,243053,79225,5646,5007,51048,28926,2945456,287311,249217,1201242,1057506,150181,3079437,4282841,6267177
1991,56215,21259,34113,157299,11800,29277,13963,5348,22140,151994,237960,14808,19449,1340,7700,7152,117428,297637,71998,6201,11034,2997,86125,55878,9891,17226,61724,13510,13365,3706,63166,32173,19180,41131,143942,1295124,3155253,112889,680411,250743,82080,6113,5154,50293,30701,2973871,293265,252099,1238071,1032094,158342,3114019,4355235,6333490
1992,56737,20712,34501,160191,13115,29067,13758,3536,22168,152982,232023,14801,17087,1378,7615,7259,117394,300655,81341,5159,6764,3030,86294,55180,10032,17031,60317,14010,12413,3395,63876,34093,19204,42413,141921,1302817,3164271,114648,693874,256593,85100,6571,4854,47864,33327,2931217,297415,255035,1269126,933212,176430,3127201,4389913,6311526
1993,58833,20969,34090,164201,13436,28205,14247,2992,22076,149564,232452,14748,17022,1410,7676,8240,117076,303926,89283,4484,5088,3101,86368,56300,10326,17517,64911,14030,11159,3651,62364,34122,18566,45718,144063,1325519,3207732,117831,722877,258850,88923,6527,5021,47702,36069,2928111,300213,261193,1314425,869627,182654,3171423,4473749,6349573
1994,60166,20400,37122,170262,14275,26897,14220,3004,23229,148081,229528,14859,17073,1455,8027,8872,115621,313796,96460,4074,5073,3036,90342,56592,10914,17907,62852,14728,10818,3879,65715,35006,18131,43403,144355,1357150,3267321,123960,742405,268983,93475,7078,5439,49058,40031,2893718,308425,273435,1358477,755336,198045,3229692,4579470,6383283
1995,62273,21275,37926,173904,15241,27435,14508,2704,22377,151189,233315,15350,17251,1449,8105,9803,120517,325239,104682,3862,5097,2797,87022,57716,11378,18585,64524,15207,10972,4164,68859,35806,18625,48102,143896,1377747,3338899,129199,784257,277229,98480,7045,6060,52285,44396,2967461,321927,284426,1431644,727651,201812,3299284,4718573,6536286
1996,64205,23125,40266,179716,16464,28004,15093,3144,22771,157184,242073,16498,17705,1520,8487,10198,121753,329744,111708,3799,5070,2890,88643,61637,11712,18921,68514,15805,11648,4587,69298,36842,19023,52054,151463,1421479,3453043,135724,762736,283102,104585,7451,6166,55368,49380,2955808,333578,299956,1433353,677001,211921,3411405,4837451,6645895
1997,65674,22848,39891,181828,18460,27435,14728,3061,23427,155999,239054,17042,17079,1526,8866,10549,123038,330686,118593,3745,5063,2904,89332,59412,11884,18845,67174,16670,11623,4627,73229,36128,18592,53715,147694,1439350,3479771,143499,783411,295042,108568,7767,8298,57318,50094,3004555,343670,311383,1480024,650524,218955,3435800,4913321,6729651
1998,66642,23255,40479,177468,18506,26373,14619,2833,24296,160108,238268,18037,17289,1592,9517,10713,126106,324901,106562,3636,5068,2907,91880,59203,11759,19585,62271,17861,11445,4546,77898,36238,19083,53694,148075,1437857,3470570,148295,789752,297967,106215,8006,7550,57214,45635,3019489,350331,320759,1488133,634128,226137,3426509,4910717,6743126
